Rowid,Z,X,Y,DRENAJE
12,34,-73.83125,8.63958333333,Brazo de Morales
13,31,-73.8270833333,8.63958333333,Brazo de Morales
14,31,-73.83125,8.63541666667,Brazo de Morales
15,32,-73.83125,8.63125,Brazo de Morales
16,33,-73.83125,8.62708333333,Brazo de Morales
17,33,-73.83125,8.62291666667,Brazo de Morales
18,33,-73.8270833333,8.62291666667,Brazo de Morales
19,35,-73.83125,8.61875,Brazo de Morales
20,33,-73.8270833333,8.61875,Brazo de Morales
21,33,-73.8270833333,8.61458333333,Brazo de Morales
22,34,-73.8229166667,8.61041666667,Brazo de Morales
23,34,-73.8229166667,8.60625,Brazo de Morales
24,33,-73.8229166667,8.60208333333,Brazo de Morales
25,35,-73.8395833333,8.58541666667,Brazo de Morales
26,34,-73.8270833333,8.58541666667,Brazo de Morales
27,34,-73.8229166667,8.58541666667,Brazo de Morales
28,34,-73.8520833333,8.57708333333,Brazo de Morales
29,34,-73.85625,8.57291666667,Brazo de Morales
30,34,-73.8604166667,8.56875,Brazo de Morales
31,34,-73.8604166667,8.56458333333,Brazo de Morales
32,35,-73.8604166667,8.56041666667,Brazo de Morales
33,35,-73.8604166667,8.54375,Brazo de Morales
34,34,-73.8645833333,8.53958333333,Brazo de Morales
35,35,-73.88125,8.53541666667,Brazo de Morales
36,34,-73.8854166667,8.53125,Brazo de Morales
37,33,-73.8854166667,8.52708333333,Brazo de Morales
38,35,-73.8854166667,8.52291666667,Brazo de Morales
39,36,-73.8854166667,8.51875,Brazo de Morales
40,35,-73.8854166667,8.51458333333,Brazo de Morales
41,34,-73.8854166667,8.51041666667,Brazo de Morales
42,34,-73.8854166667,8.50625,Brazo de Morales
43,35,-73.8854166667,8.50208333333,Brazo de Morales
44,37,-73.88125,8.50208333333,Brazo de Morales
45,35,-73.8854166667,8.49791666667,Brazo de Morales
46,37,-73.88125,8.49791666667,Brazo de Morales
47,35,-73.8854166667,8.49375,Brazo de Morales
48,37,-73.88125,8.49375,Brazo de Morales
49,37,-73.8854166667,8.48958333333,Brazo de Morales
50,35,-73.88125,8.48958333333,Brazo de Morales
51,35,-73.88125,8.48541666667,Brazo de Morales
52,35,-73.88125,8.48125,Brazo de Morales
53,35,-73.88125,8.47708333333,Brazo de Morales
54,36,-73.88125,8.47291666667,Brazo de Morales
55,35,-73.88125,8.46875,Brazo de Morales
56,35,-73.88125,8.46458333333,Brazo de Morales
57,35,-73.88125,8.46041666667,Brazo de Morales
58,34,-73.88125,8.45625,Brazo de Morales
59,34,-73.88125,8.45208333333,Brazo de Morales
60,35,-73.8854166667,8.44791666667,Brazo de Morales
61,36,-73.88125,8.44791666667,Brazo de Morales
62,35,-73.88125,8.43958333333,Brazo de Morales
63,35,-73.88125,8.43541666667,Brazo de Morales
64,37,-73.88125,8.43125,Brazo de Morales
65,36,-73.8770833333,8.43125,Brazo de Morales
66,35,-73.8729166667,8.41875,Brazo de Morales
67,35,-73.8729166667,8.41458333333,Brazo de Morales
68,34,-73.8729166667,8.41041666667,Brazo de Morales
69,34,-73.8729166667,8.40625,Brazo de Morales
70,35,-73.8770833333,8.39791666667,Brazo de Morales
71,35,-73.8729166667,8.37708333333,Brazo de Morales
72,34,-73.86875,8.36458333333,Brazo de Morales
73,34,-73.8729166667,8.35625,Brazo de Morales
74,34,-73.86875,8.35625,Brazo de Morales
75,35,-73.8729166667,8.35208333333,Brazo de Morales
76,35,-73.8729166667,8.34791666667,Brazo de Morales
77,36,-73.8729166667,8.34375,Brazo de Morales
78,35,-73.8729166667,8.33958333333,Brazo de Morales
79,34,-73.86875,8.33541666667,Brazo de Morales
80,35,-73.86875,8.33125,Brazo de Morales
81,35,-73.86875,8.32708333333,Brazo de Morales
82,36,-73.86875,8.32291666667,Brazo de Morales
83,35,-73.8645833333,8.31458333333,Brazo de Morales
84,35,-73.86875,8.31041666667,Brazo de Morales
85,35,-73.8645833333,8.31041666667,Brazo de Morales
86,35,-73.8645833333,8.30625,Brazo de Morales
87,36,-73.8645833333,8.30208333333,Brazo de Morales
88,36,-73.8645833333,8.29791666667,Brazo de Morales
89,35,-73.86875,8.29375,Brazo de Morales
90,36,-73.8729166667,8.28125,Brazo de Morales
91,36,-73.8729166667,8.27708333333,Brazo de Morales
92,36,-73.86875,8.26875,Brazo de Morales
93,35,-73.86875,8.26458333333,Brazo de Morales
94,36,-73.86875,8.26041666667,Brazo de Morales
95,40,-73.8604166667,8.25208333333,Brazo de Morales
96,41,-73.8604166667,8.24375,Brazo de Morales
97,43,-73.8729166667,8.14791666667,Brazo de Morales
1,34,-73.8270833333,8.59791666667,Brazo de Río Viejo
2,34,-73.83125,8.58958333333,Brazo de Río Viejo
1,37,-73.83125,8.58125,Brazuelo El Dique
2,38,-73.8270833333,8.56458333333,Brazuelo El Dique
3,37,-73.8229166667,8.55208333333,Brazuelo El Dique
4,37,-73.8229166667,8.54791666667,Brazuelo El Dique
5,37,-73.8270833333,8.53125,Brazuelo El Dique
6,38,-73.79375,8.49375,Brazuelo El Dique
7,37,-73.7979166667,8.48125,Brazuelo El Dique
8,38,-73.80625,8.47708333333,Brazuelo El Dique
9,38,-73.80625,8.47291666667,Brazuelo El Dique
10,38,-73.8020833333,8.46875,Brazuelo El Dique
11,38,-73.7979166667,8.46458333333,Brazuelo El Dique
12,37,-73.8020833333,8.45208333333,Brazuelo El Dique
13,39,-73.8145833333,8.44375,Brazuelo El Dique
14,38,-73.7854166667,8.41875,Brazuelo El Dique
15,38,-73.78125,8.41875,Brazuelo El Dique
16,39,-73.80625,8.41458333333,Brazuelo El Dique
17,38,-73.79375,8.41041666667,Brazuelo El Dique
18,39,-73.78125,8.41041666667,Brazuelo El Dique
19,39,-73.78125,8.40625,Brazuelo El Dique
20,38,-73.7770833333,8.39375,Brazuelo El Dique
21,38,-73.78125,8.37291666667,Brazuelo El Dique
22,38,-73.7854166667,8.36041666667,Brazuelo El Dique
23,38,-73.7854166667,8.35625,Brazuelo El Dique
24,40,-73.78125,8.35208333333,Brazuelo El Dique
25,39,-73.7895833333,8.33958333333,Brazuelo El Dique
26,40,-73.7854166667,8.33958333333,Brazuelo El Dique
27,40,-73.78125,8.31875,Brazuelo El Dique
28,39,-73.7770833333,8.31041666667,Brazuelo El Dique
29,41,-73.7729166667,8.29375,Brazuelo El Dique
30,40,-73.7729166667,8.28125,Brazuelo El Dique
31,41,-73.76875,8.25625,Brazuelo El Dique
1,59,-73.98125,7.39791666667,Caño Sepultura
2,59,-73.9770833333,7.36458333333,Caño Sepultura
3,62,-73.98125,7.33541666667,Caño Sepultura
1,54,-74.0479166667,8.73958333333,Quebrada de Mejía
2,69,-74.0270833333,8.73958333333,Quebrada de Mejía
3,53,-74.0520833333,8.73541666667,Quebrada de Mejía
1,206,-73.55625,8.94375,Quebrada Honda
2,171,-73.5645833333,8.93958333333,Quebrada Honda
3,195,-73.56875,8.93541666667,Quebrada Honda
4,431,-73.5270833333,8.96458333333,Quebrada Honda
1,55,-73.6854166667,8.86041666667,Quebrada La Floresta
2,89,-73.6479166667,8.85625,Quebrada La Floresta
3,68,-73.6854166667,8.84791666667,Quebrada La Floresta
4,74,-73.6645833333,8.84791666667,Quebrada La Floresta
5,67,-73.6770833333,8.83958333333,Quebrada La Floresta
1,70,-73.9645833333,7.11875,Brazuelo Canime
2,71,-73.95625,7.11875,Brazuelo Canime
3,72,-73.9520833333,7.11875,Brazuelo Canime
4,72,-73.9395833333,7.11458333333,Brazuelo Canime
1,23,-74.13125,8.93958333333,Brazo de Loba
2,24,-74.1354166667,8.93541666667,Brazo de Loba
3,23,-74.1354166667,8.93125,Brazo de Loba
4,24,-74.1354166667,8.92708333333,Brazo de Loba
5,24,-74.1354166667,8.92291666667,Brazo de Loba
6,24,-74.1354166667,8.91875,Brazo de Loba
7,25,-74.1354166667,8.91458333333,Brazo de Loba
8,23,-74.13125,8.91458333333,Brazo de Loba
9,23,-74.1354166667,8.91041666667,Brazo de Loba
10,22,-74.13125,8.91041666667,Brazo de Loba
11,24,-74.1354166667,8.90625,Brazo de Loba
12,22,-74.13125,8.90625,Brazo de Loba
13,23,-74.1354166667,8.90208333333,Brazo de Loba
14,23,-74.13125,8.90208333333,Brazo de Loba
15,18,-74.3895833333,8.89791666667,Brazo de Loba
16,18,-74.3854166667,8.89791666667,Brazo de Loba
17,18,-74.38125,8.89791666667,Brazo de Loba
18,18,-74.3770833333,8.89791666667,Brazo de Loba
19,18,-74.3729166667,8.89791666667,Brazo de Loba
20,22,-74.14375,8.89791666667,Brazo de Loba
21,23,-74.1395833333,8.89791666667,Brazo de Loba
22,23,-74.1354166667,8.89791666667,Brazo de Loba
23,18,-74.3770833333,8.89375,Brazo de Loba
24,17,-74.36875,8.89375,Brazo de Loba
25,23,-74.1520833333,8.89375,Brazo de Loba
26,17,-74.36875,8.88958333333,Brazo de Loba
27,17,-74.3645833333,8.88958333333,Brazo de Loba
28,18,-74.3645833333,8.88541666667,Brazo de Loba
29,18,-74.3604166667,8.88541666667,Brazo de Loba
30,23,-74.15625,8.88541666667,Brazo de Loba
31,18,-74.3604166667,8.88125,Brazo de Loba
32,19,-74.3604166667,8.87708333333,Brazo de Loba
33,23,-74.1645833333,8.87708333333,Brazo de Loba
34,19,-74.3604166667,8.87291666667,Brazo de Loba
35,19,-74.3479166667,8.87291666667,Brazo de Loba
36,19,-74.34375,8.87291666667,Brazo de Loba
37,22,-74.1645833333,8.87291666667,Brazo de Loba
38,19,-74.3395833333,8.86875,Brazo de Loba
39,20,-74.3354166667,8.86458333333,Brazo de Loba
40,19,-74.33125,8.86458333333,Brazo de Loba
41,19,-74.3270833333,8.86041666667,Brazo de Loba
42,20,-74.3229166667,8.85625,Brazo de Loba
43,19,-74.31875,8.85208333333,Brazo de Loba
44,19,-74.3145833333,8.84791666667,Brazo de Loba
45,22,-74.1645833333,8.84791666667,Brazo de Loba
46,19,-74.3145833333,8.84375,Brazo de Loba
47,22,-74.16875,8.84375,Brazo de Loba
48,21,-74.16875,8.83958333333,Brazo de Loba
49,19,-74.3104166667,8.83541666667,Brazo de Loba
50,21,-74.3104166667,8.83125,Brazo de Loba
51,21,-74.1729166667,8.83125,Brazo de Loba
52,19,-74.30625,8.82708333333,Brazo de Loba
53,21,-74.1854166667,8.82708333333,Brazo de Loba
54,20,-74.18125,8.82708333333,Brazo de Loba
55,21,-74.1770833333,8.82708333333,Brazo de Loba
56,21,-74.30625,8.82291666667,Brazo de Loba
57,21,-74.19375,8.82291666667,Brazo de Loba
58,21,-74.3020833333,8.81875,Brazo de Loba
59,20,-74.2979166667,8.81458333333,Brazo de Loba
60,21,-74.2145833333,8.81458333333,Brazo de Loba
61,21,-74.20625,8.81458333333,Brazo de Loba
62,21,-74.2020833333,8.81458333333,Brazo de Loba
63,21,-74.1979166667,8.81458333333,Brazo de Loba
64,20,-74.2979166667,8.81041666667,Brazo de Loba
65,20,-74.29375,8.81041666667,Brazo de Loba
66,19,-74.2854166667,8.81041666667,Brazo de Loba
67,20,-74.28125,8.81041666667,Brazo de Loba
68,20,-74.2770833333,8.81041666667,Brazo de Loba
69,21,-74.21875,8.81041666667,Brazo de Loba
70,20,-74.29375,8.80625,Brazo de Loba
71,20,-74.2895833333,8.80625,Brazo de Loba
72,19,-74.26875,8.80625,Brazo de Loba
73,19,-74.2645833333,8.80625,Brazo de Loba
74,20,-74.2604166667,8.80625,Brazo de Loba
75,21,-74.2229166667,8.80625,Brazo de Loba
76,20,-74.2520833333,8.80208333333,Brazo de Loba
77,20,-74.2479166667,8.80208333333,Brazo de Loba
78,20,-74.2270833333,8.80208333333,Brazo de Loba
79,21,-74.2229166667,8.80208333333,Brazo de Loba
80,20,-74.2479166667,8.79791666667,Brazo de Loba
81,20,-74.2395833333,8.79791666667,Brazo de Loba
82,21,-74.2270833333,8.79791666667,Brazo de Loba
83,20,-74.2395833333,8.79375,Brazo de Loba
84,20,-74.2354166667,8.79375,Brazo de Loba
1,68,-73.9395833333,7.19791666667,Río Magdalena
2,68,-73.94375,7.19375,Río Magdalena
3,68,-73.9395833333,7.19375,Río Magdalena
4,68,-73.94375,7.18958333333,Río Magdalena
5,68,-73.9395833333,7.18958333333,Río Magdalena
6,69,-73.94375,7.18541666667,Río Magdalena
7,67,-73.9395833333,7.18541666667,Río Magdalena
8,69,-73.94375,7.18125,Río Magdalena
9,66,-73.9395833333,7.18125,Río Magdalena
10,66,-73.9395833333,7.17708333333,Río Magdalena
11,67,-73.94375,7.17291666667,Río Magdalena
12,66,-73.9395833333,7.16875,Río Magdalena
13,73,-73.9520833333,6.95208333333,Río Magdalena
14,76,-73.9395833333,6.95208333333,Río Magdalena
15,80,-73.96875,6.94791666667,Río Magdalena
16,75,-73.9604166667,6.94791666667,Río Magdalena
17,72,-73.95625,6.94791666667,Río Magdalena
18,75,-73.9520833333,6.94791666667,Río Magdalena
19,80,-73.9479166667,6.94791666667,Río Magdalena
20,80,-73.94375,6.94791666667,Río Magdalena
21,78,-73.9729166667,6.94375,Río Magdalena
22,75,-73.96875,6.94375,Río Magdalena
23,73,-73.9645833333,6.94375,Río Magdalena
24,77,-73.9854166667,6.93958333333,Río Magdalena
25,77,-73.9770833333,6.93958333333,Río Magdalena
26,75,-73.9729166667,6.93958333333,Río Magdalena
27,77,-73.9645833333,6.93958333333,Río Magdalena
28,77,-73.9604166667,6.93958333333,Río Magdalena
29,77,-73.9895833333,6.93541666667,Río Magdalena
30,76,-73.96875,6.93541666667,Río Magdalena
31,77,-73.9979166667,6.93125,Río Magdalena
32,76,-73.99375,6.93125,Río Magdalena
33,76,-73.9895833333,6.93125,Río Magdalena
34,75,-73.9729166667,6.93125,Río Magdalena
35,79,-74.0020833333,6.92708333333,Río Magdalena
36,77,-73.9979166667,6.92708333333,Río Magdalena
37,76,-73.99375,6.92708333333,Río Magdalena
38,78,-74.0020833333,6.92291666667,Río Magdalena
39,77,-73.9979166667,6.92291666667,Río Magdalena
40,77,-73.98125,6.92291666667,Río Magdalena
41,78,-74.00625,6.91875,Río Magdalena
42,78,-73.9979166667,6.91875,Río Magdalena
43,79,-73.9854166667,6.91875,Río Magdalena
44,79,-74.01875,6.91458333333,Río Magdalena
45,78,-74.0020833333,6.91458333333,Río Magdalena
46,80,-73.9979166667,6.91458333333,Río Magdalena
47,79,-74.0020833333,6.91041666667,Río Magdalena
48,79,-74.00625,6.90625,Río Magdalena
49,80,-74.0229166667,6.90208333333,Río Magdalena
50,79,-74.0104166667,6.90208333333,Río Magdalena
51,80,-74.00625,6.90208333333,Río Magdalena
52,81,-74.0104166667,6.89791666667,Río Magdalena
53,81,-74.0145833333,6.89375,Río Magdalena
54,79,-74.03125,6.88958333333,Río Magdalena
55,78,-74.0229166667,6.88958333333,Río Magdalena
56,80,-74.01875,6.88958333333,Río Magdalena
57,78,-74.0270833333,6.88541666667,Río Magdalena
58,79,-74.0229166667,6.88541666667,Río Magdalena
59,81,-74.0395833333,6.88125,Río Magdalena
60,80,-74.0354166667,6.88125,Río Magdalena
61,81,-74.03125,6.88125,Río Magdalena
62,82,-74.0479166667,6.87708333333,Río Magdalena
63,80,-74.04375,6.87708333333,Río Magdalena
64,82,-74.0354166667,6.87708333333,Río Magdalena
65,83,-74.0520833333,6.87291666667,Río Magdalena
66,80,-74.0479166667,6.87291666667,Río Magdalena
67,80,-74.0520833333,6.86875,Río Magdalena
68,81,-74.0395833333,6.86875,Río Magdalena
69,83,-74.0604166667,6.86458333333,Río Magdalena
70,80,-74.05625,6.86458333333,Río Magdalena
71,81,-74.04375,6.86458333333,Río Magdalena
72,84,-74.0645833333,6.86041666667,Río Magdalena
73,80,-74.0604166667,6.86041666667,Río Magdalena
74,79,-74.05625,6.86041666667,Río Magdalena
75,79,-74.0520833333,6.86041666667,Río Magdalena
76,79,-74.0645833333,6.85625,Río Magdalena
77,81,-74.0520833333,6.85625,Río Magdalena
78,80,-74.06875,6.85208333333,Río Magdalena
79,82,-74.05625,6.85208333333,Río Magdalena
80,81,-74.0729166667,6.84791666667,Río Magdalena
81,81,-74.0729166667,6.84375,Río Magdalena
82,80,-74.06875,6.84375,Río Magdalena
83,82,-74.0770833333,6.83958333333,Río Magdalena
84,80,-74.0729166667,6.83958333333,Río Magdalena
85,82,-74.08125,6.83541666667,Río Magdalena
86,82,-74.0729166667,6.83541666667,Río Magdalena
87,81,-74.08125,6.83125,Río Magdalena
88,80,-74.0770833333,6.83125,Río Magdalena
89,80,-74.08125,6.82708333333,Río Magdalena
90,79,-74.0770833333,6.82708333333,Río Magdalena
91,83,-74.0854166667,6.82291666667,Río Magdalena
92,82,-74.0770833333,6.82291666667,Río Magdalena
93,81,-74.0854166667,6.81875,Río Magdalena
94,80,-74.08125,6.81875,Río Magdalena
95,80,-74.0854166667,6.81458333333,Río Magdalena
96,84,-74.08125,6.81458333333,Río Magdalena
97,85,-74.0979166667,6.81041666667,Río Magdalena
98,84,-74.09375,6.81041666667,Río Magdalena
99,83,-74.0895833333,6.81041666667,Río Magdalena
100,84,-74.0854166667,6.81041666667,Río Magdalena
101,84,-74.1104166667,6.80625,Río Magdalena
102,84,-74.10625,6.80625,Río Magdalena
103,84,-74.1020833333,6.80625,Río Magdalena
104,83,-74.0895833333,6.80625,Río Magdalena
105,84,-74.1145833333,6.80208333333,Río Magdalena
106,83,-74.1104166667,6.80208333333,Río Magdalena
107,84,-74.09375,6.80208333333,Río Magdalena
108,83,-74.1104166667,6.79791666667,Río Magdalena
109,84,-74.09375,6.79791666667,Río Magdalena
110,87,-74.1354166667,6.79375,Río Magdalena
111,87,-74.13125,6.79375,Río Magdalena
112,85,-74.1270833333,6.79375,Río Magdalena
113,84,-74.1229166667,6.79375,Río Magdalena
114,83,-74.1145833333,6.79375,Río Magdalena
115,84,-74.0979166667,6.79375,Río Magdalena
116,86,-74.1395833333,6.78958333333,Río Magdalena
117,87,-74.1354166667,6.78958333333,Río Magdalena
118,88,-74.13125,6.78958333333,Río Magdalena
119,84,-74.1270833333,6.78958333333,Río Magdalena
120,83,-74.1229166667,6.78958333333,Río Magdalena
121,84,-74.11875,6.78958333333,Río Magdalena
122,84,-74.1145833333,6.78958333333,Río Magdalena
123,83,-74.1020833333,6.78958333333,Río Magdalena
124,84,-74.0979166667,6.78958333333,Río Magdalena
125,85,-74.1395833333,6.78541666667,Río Magdalena
126,85,-74.1354166667,6.78541666667,Río Magdalena
127,85,-74.13125,6.78541666667,Río Magdalena
128,84,-74.1270833333,6.78541666667,Río Magdalena
129,85,-74.1229166667,6.78541666667,Río Magdalena
130,87,-74.11875,6.78541666667,Río Magdalena
131,87,-74.1145833333,6.78541666667,Río Magdalena
132,86,-74.1104166667,6.78541666667,Río Magdalena
133,84,-74.10625,6.78541666667,Río Magdalena
134,86,-74.1020833333,6.78541666667,Río Magdalena
135,85,-74.1395833333,6.78125,Río Magdalena
136,85,-74.13125,6.78125,Río Magdalena
137,88,-74.11875,6.78125,Río Magdalena
138,88,-74.1145833333,6.78125,Río Magdalena
139,87,-74.1104166667,6.78125,Río Magdalena
140,85,-74.10625,6.78125,Río Magdalena
141,88,-74.1020833333,6.78125,Río Magdalena
142,85,-74.14375,6.77708333333,Río Magdalena
143,89,-74.1395833333,6.77708333333,Río Magdalena
144,85,-74.14375,6.77291666667,Río Magdalena
145,90,-74.1395833333,6.77291666667,Río Magdalena
146,88,-74.1354166667,6.77291666667,Río Magdalena
147,87,-74.10625,6.77291666667,Río Magdalena
148,85,-74.14375,6.76875,Río Magdalena
149,91,-74.1395833333,6.76875,Río Magdalena
150,89,-74.1354166667,6.76875,Río Magdalena
151,89,-74.1145833333,6.76875,Río Magdalena
152,84,-74.14375,6.76458333333,Río Magdalena
153,88,-74.1395833333,6.76458333333,Río Magdalena
154,91,-74.11875,6.76458333333,Río Magdalena
155,88,-74.1479166667,6.76041666667,Río Magdalena
156,84,-74.14375,6.76041666667,Río Magdalena
157,85,-74.1229166667,6.76041666667,Río Magdalena
158,90,-74.1520833333,6.75625,Río Magdalena
159,85,-74.1479166667,6.75625,Río Magdalena
160,85,-74.14375,6.75625,Río Magdalena
161,87,-74.1395833333,6.75625,Río Magdalena
162,86,-74.1354166667,6.75625,Río Magdalena
163,85,-74.13125,6.75625,Río Magdalena
164,86,-74.1520833333,6.75208333333,Río Magdalena
165,85,-74.1479166667,6.75208333333,Río Magdalena
166,84,-74.1395833333,6.75208333333,Río Magdalena
167,87,-74.15625,6.74791666667,Río Magdalena
168,85,-74.1520833333,6.74791666667,Río Magdalena
169,85,-74.14375,6.74791666667,Río Magdalena
170,87,-74.1395833333,6.74791666667,Río Magdalena
171,87,-74.1604166667,6.74375,Río Magdalena
172,86,-74.15625,6.74375,Río Magdalena
173,85,-74.1520833333,6.74375,Río Magdalena
174,87,-74.15625,6.73958333333,Río Magdalena
175,88,-74.16875,6.73541666667,Río Magdalena
176,87,-74.1645833333,6.73541666667,Río Magdalena
177,88,-74.1604166667,6.73541666667,Río Magdalena
178,88,-74.18125,6.73125,Río Magdalena
179,88,-74.1729166667,6.73125,Río Magdalena
180,85,-74.16875,6.73125,Río Magdalena
181,86,-74.1645833333,6.73125,Río Magdalena
182,93,-74.2145833333,6.72708333333,Río Magdalena
183,90,-74.2104166667,6.72708333333,Río Magdalena
184,89,-74.20625,6.72708333333,Río Magdalena
185,89,-74.2020833333,6.72708333333,Río Magdalena
186,95,-74.1979166667,6.72708333333,Río Magdalena
187,87,-74.1770833333,6.72708333333,Río Magdalena
188,85,-74.1729166667,6.72708333333,Río Magdalena
189,85,-74.16875,6.72708333333,Río Magdalena
190,91,-74.2229166667,6.72291666667,Río Magdalena
191,91,-74.21875,6.72291666667,Río Magdalena
192,90,-74.2145833333,6.72291666667,Río Magdalena
193,90,-74.2104166667,6.72291666667,Río Magdalena
194,91,-74.20625,6.72291666667,Río Magdalena
195,89,-74.2020833333,6.72291666667,Río Magdalena
196,87,-74.1979166667,6.72291666667,Río Magdalena
197,88,-74.19375,6.72291666667,Río Magdalena
198,86,-74.1895833333,6.72291666667,Río Magdalena
199,87,-74.1854166667,6.72291666667,Río Magdalena
200,85,-74.18125,6.72291666667,Río Magdalena
201,85,-74.1770833333,6.72291666667,Río Magdalena
202,85,-74.1729166667,6.72291666667,Río Magdalena
