,Unnamed: 0,Z,X,Y,Unnamed: 0.1
0,0,215,-73.54375,8.24375,
1,1,192,-73.54375,8.23958333333,
2,2,192,-73.5395833333,8.23541666667,
3,3,204,-73.5354166667,8.23125,
4,4,200,-73.5354166667,8.22708333333,
5,5,190,-73.5354166667,8.22291666667,
6,6,196,-73.5354166667,8.21875,
7,7,197,-73.5354166667,8.21458333333,
8,8,199,-73.5354166667,8.21041666667,
0,0,140,-73.5729166667,8.63125,
1,1,149,-73.5729166667,8.62708333333,
2,2,156,-73.5729166667,8.62291666667,
3,3,161,-73.5729166667,8.61875,
4,4,170,-73.5770833333,8.61458333333,
5,5,200,-73.5729166667,8.61458333333,
6,6,196,-73.5770833333,8.61041666667,
7,7,174,-73.58125,8.60625,
8,8,214,-73.5770833333,8.60625,
0,0,135,-73.5729166667,8.71041666667,
1,1,126,-73.5729166667,8.70625,
2,2,124,-73.5729166667,8.69791666667,
3,3,145,-73.56875,8.68958333333,
4,4,136,-73.56875,8.68541666667,
5,5,150,-73.56875,8.68125,
6,6,143,-73.56875,8.67708333333,
7,7,119,-73.5729166667,8.67291666667,
8,8,136,-73.56875,8.67291666667,
9,9,135,-73.5729166667,8.66875,
10,10,183,-73.56875,8.66875,
11,11,191,-73.5604166667,8.66875,
12,12,107,-73.5770833333,8.66458333333,
13,13,139,-73.5729166667,8.66458333333,
14,14,157,-73.56875,8.66458333333,
15,15,152,-73.5645833333,8.66458333333,
16,16,130,-73.5770833333,8.66041666667,
17,17,130,-73.5729166667,8.66041666667,
18,18,119,-73.56875,8.66041666667,
19,19,143,-73.5645833333,8.66041666667,
20,20,113,-73.58125,8.65625,
21,21,140,-73.5770833333,8.65625,
22,22,117,-73.5729166667,8.65625,
23,23,123,-73.56875,8.65625,
24,24,125,-73.58125,8.65208333333,
25,25,124,-73.5770833333,8.65208333333,
26,26,130,-73.56875,8.65208333333,
27,27,109,-73.5854166667,8.64791666667,
28,28,137,-73.58125,8.64791666667,
29,29,150,-73.56875,8.64791666667,
30,30,102,-73.5895833333,8.64375,
31,31,121,-73.5854166667,8.64375,
32,32,146,-73.58125,8.64375,
33,33,136,-73.56875,8.64375,
34,34,102,-73.59375,8.63958333333,
35,35,106,-73.5895833333,8.63958333333,
36,36,124,-73.5854166667,8.63958333333,
37,37,130,-73.58125,8.63958333333,
38,38,105,-73.5979166667,8.63541666667,
39,39,107,-73.59375,8.63541666667,
40,40,111,-73.5895833333,8.63541666667,
41,41,124,-73.5854166667,8.63541666667,
42,42,105,-73.6020833333,8.63125,
43,43,107,-73.5979166667,8.63125,
44,44,112,-73.59375,8.63125,
45,45,117,-73.5895833333,8.63125,
46,46,136,-73.5854166667,8.63125,
47,47,104,-73.6020833333,8.62708333333,
48,48,110,-73.5979166667,8.62708333333,
49,49,113,-73.59375,8.62708333333,
50,50,119,-73.5895833333,8.62708333333,
51,51,141,-73.5854166667,8.62708333333,
52,52,108,-73.60625,8.62291666667,
53,53,106,-73.6020833333,8.62291666667,
54,54,113,-73.5979166667,8.62291666667,
55,55,122,-73.59375,8.62291666667,
56,56,122,-73.5895833333,8.62291666667,
57,57,139,-73.5854166667,8.62291666667,
58,58,113,-73.6104166667,8.61875,
59,59,118,-73.60625,8.61875,
60,60,117,-73.6020833333,8.61875,
61,61,116,-73.5979166667,8.61875,
62,62,125,-73.59375,8.61875,
63,63,129,-73.5895833333,8.61875,
64,64,118,-73.6104166667,8.61458333333,
65,65,128,-73.6020833333,8.61458333333,
66,66,116,-73.5979166667,8.61458333333,
67,67,122,-73.59375,8.61458333333,
68,68,121,-73.5979166667,8.61041666667,
69,69,122,-73.59375,8.61041666667,
70,70,133,-73.59375,8.60625,
0,0,160,-73.5770833333,8.73958333333,
1,1,150,-73.5770833333,8.73541666667,
2,2,125,-73.5770833333,8.73125,
3,3,127,-73.5770833333,8.72708333333,
0,0,48,-73.68125,8.74375,
1,1,47,-73.68125,8.73958333333,
2,2,49,-73.6770833333,8.73958333333,
3,3,46,-73.6770833333,8.73541666667,
4,4,48,-73.6729166667,8.73125,
5,5,48,-73.6729166667,8.72708333333,
6,6,50,-73.6729166667,8.72291666667,
7,7,50,-73.6770833333,8.71875,
8,8,50,-73.6729166667,8.71875,
9,9,54,-73.6729166667,8.71458333333,
0,0,215,-73.54375,8.24375,0.0
1,1,192,-73.54375,8.23958333333,1.0
2,2,192,-73.5395833333,8.23541666667,2.0
3,3,204,-73.5354166667,8.23125,3.0
4,4,200,-73.5354166667,8.22708333333,4.0
5,5,190,-73.5354166667,8.22291666667,5.0
6,6,196,-73.5354166667,8.21875,6.0
7,7,197,-73.5354166667,8.21458333333,7.0
8,8,199,-73.5354166667,8.21041666667,8.0
9,0,140,-73.5729166667,8.63125,0.0
10,1,149,-73.5729166667,8.62708333333,1.0
11,2,156,-73.5729166667,8.62291666667,2.0
12,3,161,-73.5729166667,8.61875,3.0
13,4,170,-73.5770833333,8.61458333333,4.0
14,5,200,-73.5729166667,8.61458333333,5.0
15,6,196,-73.5770833333,8.61041666667,6.0
16,7,174,-73.58125,8.60625,7.0
17,8,214,-73.5770833333,8.60625,8.0
18,0,135,-73.5729166667,8.71041666667,0.0
19,1,126,-73.5729166667,8.70625,1.0
20,2,124,-73.5729166667,8.69791666667,2.0
21,3,145,-73.56875,8.68958333333,3.0
22,4,136,-73.56875,8.68541666667,4.0
23,5,150,-73.56875,8.68125,5.0
24,6,143,-73.56875,8.67708333333,6.0
25,7,119,-73.5729166667,8.67291666667,7.0
26,8,136,-73.56875,8.67291666667,8.0
27,9,135,-73.5729166667,8.66875,9.0
28,10,183,-73.56875,8.66875,10.0
29,11,191,-73.5604166667,8.66875,11.0
30,12,107,-73.5770833333,8.66458333333,12.0
31,13,139,-73.5729166667,8.66458333333,13.0
32,14,157,-73.56875,8.66458333333,14.0
33,15,152,-73.5645833333,8.66458333333,15.0
34,16,130,-73.5770833333,8.66041666667,16.0
35,17,130,-73.5729166667,8.66041666667,17.0
36,18,119,-73.56875,8.66041666667,18.0
37,19,143,-73.5645833333,8.66041666667,19.0
38,20,113,-73.58125,8.65625,20.0
39,21,140,-73.5770833333,8.65625,21.0
40,22,117,-73.5729166667,8.65625,22.0
41,23,123,-73.56875,8.65625,23.0
42,24,125,-73.58125,8.65208333333,24.0
43,25,124,-73.5770833333,8.65208333333,25.0
44,26,130,-73.56875,8.65208333333,26.0
45,27,109,-73.5854166667,8.64791666667,27.0
46,28,137,-73.58125,8.64791666667,28.0
47,29,150,-73.56875,8.64791666667,29.0
48,30,102,-73.5895833333,8.64375,30.0
49,31,121,-73.5854166667,8.64375,31.0
50,32,146,-73.58125,8.64375,32.0
51,33,136,-73.56875,8.64375,33.0
52,34,102,-73.59375,8.63958333333,34.0
53,35,106,-73.5895833333,8.63958333333,35.0
54,36,124,-73.5854166667,8.63958333333,36.0
55,37,130,-73.58125,8.63958333333,37.0
56,38,105,-73.5979166667,8.63541666667,38.0
57,39,107,-73.59375,8.63541666667,39.0
58,40,111,-73.5895833333,8.63541666667,40.0
59,41,124,-73.5854166667,8.63541666667,41.0
60,42,105,-73.6020833333,8.63125,42.0
61,43,107,-73.5979166667,8.63125,43.0
62,44,112,-73.59375,8.63125,44.0
63,45,117,-73.5895833333,8.63125,45.0
64,46,136,-73.5854166667,8.63125,46.0
65,47,104,-73.6020833333,8.62708333333,47.0
66,48,110,-73.5979166667,8.62708333333,48.0
67,49,113,-73.59375,8.62708333333,49.0
68,50,119,-73.5895833333,8.62708333333,50.0
69,51,141,-73.5854166667,8.62708333333,51.0
70,52,108,-73.60625,8.62291666667,52.0
71,53,106,-73.6020833333,8.62291666667,53.0
72,54,113,-73.5979166667,8.62291666667,54.0
73,55,122,-73.59375,8.62291666667,55.0
74,56,122,-73.5895833333,8.62291666667,56.0
75,57,139,-73.5854166667,8.62291666667,57.0
76,58,113,-73.6104166667,8.61875,58.0
77,59,118,-73.60625,8.61875,59.0
78,60,117,-73.6020833333,8.61875,60.0
79,61,116,-73.5979166667,8.61875,61.0
80,62,125,-73.59375,8.61875,62.0
81,63,129,-73.5895833333,8.61875,63.0
82,64,118,-73.6104166667,8.61458333333,64.0
83,65,128,-73.6020833333,8.61458333333,65.0
84,66,116,-73.5979166667,8.61458333333,66.0
85,67,122,-73.59375,8.61458333333,67.0
86,68,121,-73.5979166667,8.61041666667,68.0
87,69,122,-73.59375,8.61041666667,69.0
88,70,133,-73.59375,8.60625,70.0
89,0,160,-73.5770833333,8.73958333333,0.0
90,1,150,-73.5770833333,8.73541666667,1.0
91,2,125,-73.5770833333,8.73125,2.0
92,3,127,-73.5770833333,8.72708333333,3.0
93,0,48,-73.68125,8.74375,0.0
94,1,47,-73.68125,8.73958333333,1.0
95,2,49,-73.6770833333,8.73958333333,2.0
96,3,46,-73.6770833333,8.73541666667,3.0
97,4,48,-73.6729166667,8.73125,4.0
98,5,48,-73.6729166667,8.72708333333,5.0
99,6,50,-73.6729166667,8.72291666667,6.0
100,7,50,-73.6770833333,8.71875,7.0
101,8,50,-73.6729166667,8.71875,8.0
102,9,54,-73.6729166667,8.71458333333,9.0
